id,song_num,page_num,catalogue_num,performers,performer_genders,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,lyrics,free_translation,tonality,comments
menominee028,28,62,1506,Louis Pigeon (Tcik'wa),male,100,,100,1,2/4|5/4|4/4,TRUE,FALSE,FALSE,voice,,"When I begin this I offer my song, so I may succeed in getting game",,
menominee029,29,63,1507,Louis Pigeon (Tcik'wa),male,84,,84,1,2/4|3/4|5/8,TRUE,FALSE,FALSE,voice,,I am now going to look for game and am sure that I will find it,,
menominee030,30,64,1508,Louis Pigeon (Tcik'wa),male,92,,92,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,I am going to get a buck and I will pack him,,
menominee031,31,64,1509,Louis Pigeon (Tcik'wa),male,116,,116,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,When I am at a buck I will shoot him through the heart,,
menominee032,32,65,1605,Peter Fish (We'sawa'nakwût),male,120,,120,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,I am now going to use my tapping stick,,
menominee033,33,66,1606,Peter Fish (We'sawa'nakwût),male,80,,80,1,2/4|5/8,TRUE,FALSE,FALSE,voice,,"Tomorrow, when I am hunting, you will be struggling and I will shoot you through the heart",,
menominee034,34,66,1607,Peter Fish (We'sawa'nakwût),male,80,,80,1,2/3|3/4,TRUE,FALSE,FALSE,voice,,When hunting I want to see the slender-legged animals,,
menominee035,35,67,1608,Peter Fish (We'sawa'nakwût),male,100,,100,1,2/4,TRUE,FALSE,FALSE,voice,,,,
menominee036,36,67,1609,Peter Fish (We'sawa'nakwût),male,96,,96,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee037,37,68,1575,David Amab (Wa'nĭskûm),male,72,,72,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,I bring the ewe deer,,
menominee038,38,70,1510,Louis Pigeon (Tcik'wa),male,108,,108,1,2/4,TRUE,FALSE,FALSE,voice,,,,
menominee039,39,71,1513,Louis Pigeon (Tcik'wa),male,92,,92,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee040,40,72,1514,Louis Pigeon (Tcik'wa),male,88,,88,1,2/4|3/4|3/8,TRUE,FALSE,FALSE,voice,,In the middle of the great lake I went around,,
menominee041,41,73,1515,Louis Pigeon (Tcik'wa),male,160,,160,0.5,5/8,TRUE,FALSE,FALSE,voice,,,,
menominee042,42,73,1511,Louis Pigeon (Tcik'wa),male,100,,100,1,2/4,TRUE,FALSE,FALSE,voice,,He walks and carries it on his back,,
menominee043,43,74,1512,Louis Pigeon (Tcik'wa),male,92,,92,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee044,44,76,1577,John Ca'wûnĭ'pĭnas' (A'djiki),male,80,,80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee045,45,77,1541,Louis Pigeon (Tcik'wa),male,76,,76,1,2/4,TRUE,FALSE,FALSE,voice,,Your tribe will come to you to be cured of sickness,,
menominee046,46,78,1578,John Ca'wûnĭ'pĭnas' (A'djiki),male,60,,60,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,In the heavens a noise like the rustling of the trees,,
menominee047,47,79,1579,John Ca'wûnĭ'pĭnas' (A'djiki),male,96,,96,1,2/4|4/4,TRUE,FALSE,FALSE,voice,,"I am the one, traveling",,
menominee048,48,80,1580,John Ca'wûnĭ'pĭnas' (A'djiki),male,80,,80,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,I know the heavens,,
menominee049,49,81,1581,John Ca'wûnĭ'pĭnas' (A'djiki),male,112,,112,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,We are coming and will cover the earth,,
menominee050,50,82,1582,John Ca'wûnĭ'pĭnas' (A'djiki),male,66,,66,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,The voice of the kinewuk comes beforet hem announcing their approach,,
menominee051,51,83,1583,John Ca'wûnĭ'pĭnas' (A'djiki),male,80,,80,1,2/4|3/4|5/8,TRUE,FALSE,FALSE,voice,,"The little whirlwind says, ""One who whirls with the wind they call me, the spirits""",,
menominee052,52,84,1594,John Ca'wûnĭ'pĭnas' (A'djiki),male,84,,84,1,2/4,TRUE,FALSE,FALSE,voice,,I am the chief of all the animals that walk,,
menominee053,53,84,1595,John Ca'wûnĭ'pĭnas' (A'djiki),male,84,,84,1,3/4|4/4,TRUE,FALSE,FALSE,voice,,In the south I stand,,
menominee054,54,85,1618,James We'ke (Inä'miki'se),male,104,,104,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee055,55,86,1563,David Amab (Wa'nĭskûm),male,200,,200,0.5,3/8|2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee056,56,87,1619,James We'ke (Inä'miki'se),male,80,,80,1,2/4,TRUE,FALSE,FALSE,voice,,,,
menominee057,57,88,1562,David Amab (Wa'nĭskûm),male,108,,108,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee058,58,89,1636,Katherine Laughrey (Ca'wûno'mĭta'we),female,96,,96,1,2/4,TRUE,FALSE,FALSE,voice,,The pipe that I use to do this,,
menominee059,59,96,1523,Louis Pigeon (Tcik'wa),male,129,,129,1,2/4,TRUE,FALSE,FALSE,voice,,,,
menominee060,60,98,1522,Louis Pigeon (Tcik'wa),male,84,,84,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee061,61,105,1596,John Ca'wûnĭ'pĭnas' (A'djiki),male,72,,72,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,I am going home,,
menominee062,62,106,1597,John Ca'wûnĭ'pĭnas' (A'djiki),male,84,,84,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,The inside of my house is full,,
menominee063,63,107,1567,David Amab (Wa'nĭskûm),male,58,,58,1,2/4,TRUE,FALSE,FALSE,voice,,My lodge stands solid. I walk all over the world,,
menominee064,64,107,1568,David Amab (Wa'nĭskûm),male,92,,92,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
